GWAS.sig tag 0hr_GABA 6hr_GABA 1hr_GABA 0hr_nmglut 1hr_nmglut 6hr_nmglut 0hr_npglut 1hr_npglut 6hr_npglut
EMC2 FALSE 8_74 NA NA NA NA NA NA 0.0174631950184599 0.00654545032820286 0.801536670579724
ABITRAM FALSE 9_55 NA NA NA NA NA NA 0.0154500676632732 0.858968259233652 NA
ARHGEF7 FALSE 13_60 NA NA NA NA NA NA 0.0264777604475711 0.00626256093607835 0.854576598662376
PPP2R3C FALSE 14_9 NA NA NA NA NA NA 0.043212425123349 0.857045012349406 0.016292490688702
ARPP19 FALSE 15_21 NA NA NA NA NA NA 0.180362633038614 0.67856566441159 0.0325581026749047
ZNF823 FALSE 19_10 NA NA NA NA NA NA 0.0385086323075615 0.994315896634643 0.00994181026058161
MAU2 FALSE 19_15 NA NA NA NA NA NA 0.0122063876566596 0.786840900657515 0.0219995812220513
MOCS3 FALSE 20_31 NA NA NA NA NA NA 0.105679235734916 0.15319620527855 0.628290712274823
ITSN1 FALSE 21_14,21_15 NA NA NA NA NA NA 0.0313299455781277 0.222631873162901 0.633483458620318
NAGA FALSE 22_17 NA NA NA NA NA NA 0.00491688857734973 0.00286164134475009 0.993437276030311
SMDT1 FALSE 22_17 NA NA NA NA NA NA 0.00577527083942586 0.469975079296368 0.510114529084497
KDM4C FALSE 9_7,9_8 NA NA NA 0.00443445139218468 0.816529487621832 0.0306920087588543 NA NA NA
TSPAN2 FALSE 1_71 NA NA NA 0.003242817621814 0.0349293804701649 0.817437013122509 NA NA NA
KCNN3 FALSE 1_76 NA NA NA 0.00298337637517931 0.813909186869145 NA NA NA NA
TNR FALSE 1_86 NA NA NA 0.00230886469948144 0.0232147046613348 0.78841473017628 NA NA NA
CD46 FALSE 1_105 NA NA NA 0.0528716569190694 0.0409581113460569 0.788942999223957 NA NA NA
FOXN2 FALSE 2_31 NA NA NA 0.00693700998386948 0.988805200552358 0.029720536768114 NA NA NA
ACYP2 FALSE 2_35 NA NA NA 0.00322813241666065 0.0597018796349578 0.89219050608618 NA NA NA
SMYD5 FALSE 2_48 NA NA NA 0.00397279061824585 0.8180220332037 0.0251285736162761 NA NA NA
KALRN FALSE 3_76,3_77 NA NA NA 0.00388572334275927 0.0486594357810733 0.814145032595106 NA NA NA
CXXC5 FALSE 5_82 NA NA NA 0.0018701402004665 0.0253466203415156 0.898370812201785 NA NA NA
ADAMTS2 FALSE 5_108 NA NA NA 0.00332357489268298 0.868319364394926 0.0253897471246188 NA NA NA
HLA-DMA FALSE 6_27 NA NA NA 0.00648633297943935 0.0843759081189823 0.94315050517903 NA NA NA
CYP7B1 FALSE 8_49 NA NA NA 0.00265294861739429 0.0363761394065596 0.96502740870457 NA NA NA
GLIPR2 FALSE 9_27 NA NA NA 0.0080939616653809 0.98509148937569 0.0421063325955338 NA NA NA
CRAT FALSE 9_66 NA NA NA 0.00228590254135574 0.358472129818263 0.330751811728848 NA NA NA
DCP1B FALSE 12_2 NA NA NA 0.014734907744162 0.916914367483544 0.0354441911349658 NA NA NA
METRN FALSE 16_1 NA NA NA 0.0144959525991925 0.181246150570591 0.645433005949418 NA NA NA
NPIPB2 FALSE 16_12 NA NA NA 0.0487694167896856 0.631495501288635 0.27892607599729 NA NA NA
OXLD1 FALSE 17_46 NA NA NA 0.00273290349426514 0.0460262228423457 0.896977134441267 NA NA NA
APC2 FALSE 19_2 NA NA NA 0.0229812815703502 0.319828120450671 0.3052565046131 NA NA NA
ATP5PO FALSE 21_15 NA NA NA 0.0672226134934468 0.870788102223462 NA NA NA NA
CYP2D6 FALSE 22_17 NA NA NA 0.00170773282453218 0.84283343862193 0.076867181520392 NA NA NA
